"t","p","padj"
"200788_s_at",18.8344488538497,6.20245494920412e-37,2.08904155443562e-34
"209118_s_at",18.8096544914657,3.66516014996436e-39,2.32272688253857e-36
"1555724_s_at",18.7779004783947,6.31173593706721e-39,3.61394220416626e-36
"231579_s_at",18.7714396734822,4.5602167727637e-39,2.7484906512265e-36
"209946_at",18.75377758407,3.61699866205304e-34,6.0911853203677e-32
"215127_s_at",18.7476871657485,5.14650220685118e-39,3.02231641137212e-36
"209348_s_at",18.7094007627403,7.31859286763663e-39,4.08823737676785e-36
"214844_s_at",18.7082465734703,2.76886008584517e-34,4.91590717411721e-32
"210517_s_at",18.6381016482389,2.87307792024769e-38,1.37087715848818e-35
"201426_s_at",18.624070356806,1.55325428849898e-38,7.90537399322046e-36
"225710_at",18.6176789743206,9.76387421753588e-39,5.32433360010058e-36
"202133_at",18.5885999366405,1.27767062451975e-38,6.80523030543626e-36
"225651_at",18.5594878385104,1.33466391389352e-38,6.94722900452348e-36
"209550_at",18.5221850934443,8.32334778404812e-38,3.46599335087371e-35
"217762_s_at",18.5191060837481,2.24110397723423e-38,1.09634645312799e-35
"213122_at",18.5033037317877,3.12971733524509e-32,3.39715242318096e-30
"230264_s_at",18.4768699587101,3.95300601148267e-37,1.43707455049186e-34
"204620_s_at",18.4599735869272,2.24984863541962e-38,1.09634645312799e-35
"213125_at",18.4591732584965,2.18774462872233e-36,5.81505207806595e-34
"212067_s_at",18.4442172508402,5.19426469273404e-38,2.28777392803246e-35
"213316_at",18.4430990469061,1.03028203576325e-31,9.95634998526821e-30
"226751_at",18.3753925730663,1.38930523689435e-35,3.05954402313378e-33
"203083_at",18.3726797005679,4.22422670282331e-38,1.93494928349525e-35
"230722_at",18.3472957204226,2.60234085846159e-32,2.92163787653656e-30
"225450_at",18.3214317897206,3.76913653814246e-35,7.70754769045327e-33
"225968_at",18.3212878916274,7.5558890816112e-35,1.45422292131211e-32
"228640_at",18.3049752304337,8.14985876003822e-38,3.4565965774288e-35
"205880_at",18.2898033716226,1.46793604352564e-33,2.15513712851716e-31
"226066_at",18.2741073153022,5.82138988789911e-36,1.37450817116034e-33
"211535_s_at",18.247573637455,6.68789944621617e-37,2.21989798574912e-34
"200974_at",18.2391665307097,7.22633896293387e-38,3.12273285411461e-35
"211067_s_at",18.2304575799482,1.58312395159004e-36,4.53228598290833e-34
"209335_at",18.2246037715641,1.12292258306642e-37,4.51198174034565e-35
"222670_s_at",18.2237234369215,2.05464188374986e-35,4.35717250588176e-33
"209283_at",18.2225832133194,8.81881603291236e-33,1.10370133115733e-30
"212813_at",18.1890366670703,4.05536461724268e-34,6.7304359296166e-32
"208789_at",18.1640833754517,6.16845990923566e-37,2.08904155443562e-34
"221748_s_at",18.1419716581607,8.28201571057417e-37,2.5632838624227e-34
"1555630_a_at",18.0643775816945,3.31522026659799e-37,1.22465306074022e-34
"223730_at",18.0465831345189,4.05510632001359e-32,4.33188339919031e-30
"205100_at",18.0431256295237,7.9367569264831e-32,7.7394431873758e-30
"212262_at",18.0421716146673,8.69904838520079e-36,1.95327750162994e-33
"226237_at",18.0273736228505,3.12199809549093e-37,1.19171870635048e-34
"225381_at",18.0077932274379,4.08133755172934e-29,2.74926099844873e-27
"224710_at",18.0055821368266,4.06392625060575e-37,1.45431410808787e-34
"213905_x_at",17.9984754615206,2.90837682412611e-37,1.1289924475078e-34
"215388_s_at",17.9955995123997,1.24429362040629e-36,3.60734896052725e-34
"225241_at",17.9866847533095,4.70194955604296e-31,4.17398258457566e-29
"204619_s_at",17.9783611452822,3.2653731140842e-37,1.22465306074022e-34
"226834_at",17.9737774835317,5.11709857401138e-36,1.23365166990087e-33
"211597_s_at",17.9634741061239,8.14820995100044e-37,2.55641715764059e-34
"228333_at",17.9587385669616,3.11193958208051e-32,3.39394058325666e-30
"201792_at",17.9430266171657,2.01840550603678e-33,2.87127585743853e-31
"213800_at",17.885190169573,4.88288391540346e-35,9.80988511530574e-33
"225021_at",17.8820148203244,4.21104177248183e-36,1.037048276507e-33
"201261_x_at",17.8804256391271,1.17877643543962e-36,3.50617100011345e-34
"1554127_s_at",17.8707490282866,1.21184464540677e-29,8.7005886876963e-28
"221731_x_at",17.8574322683428,5.88255424663916e-37,2.04133545319359e-34
"201058_s_at",17.8556002827232,7.14190365105628e-35,1.38619507898425e-32
"215646_s_at",17.8491459105083,5.34362463613421e-37,1.88284669294434e-34
"216321_s_at",17.8281882344278,7.44566669200085e-37,2.42994692383786e-34
"37408_at",17.8069671743981,1.29355199446253e-32,1.57586283665827e-30
"212077_at",17.8069262334974,2.00645765570652e-36,5.53071572455932e-34
"218559_s_at",17.8030928234452,7.53290973202147e-37,2.42994692383786e-34
"201616_s_at",17.8000713350464,9.29521459097841e-37,2.83851066369571e-34
"211571_s_at",17.79632208,1.2298867278699e-36,3.60734896052725e-34
"226607_at",17.7930882392923,1.31682512012314e-32,1.59572728709949e-30
"212609_s_at",17.7891051708615,1.01678601061506e-32,1.25878108114144e-30
"228080_at",17.7825107019608,1.15141262355095e-31,1.10338089193252e-29
"201843_s_at",17.7825026048999,3.72834514972826e-34,6.23286780760775e-32
"228827_at",17.7777324111923,3.8711185451747e-33,5.15466442093815e-31
"204589_at",17.7749486177369,3.5111779913971e-33,4.74276753553706e-31
"235318_at",17.7664210079174,5.33049691611906e-31,4.65970881182729e-29
"202238_s_at",17.7289332823773,1.70335618959029e-36,4.75755692807152e-34
"202436_s_at",17.7186014204096,2.29907821237043e-28,1.40790877801925e-26
"204939_s_at",17.7030335217699,2.42669225334044e-33,3.38893491940586e-31
"212298_at",17.6972525776891,1.65384956382171e-36,4.6763106864455e-34
"203603_s_at",17.6961946146063,3.99331503491269e-33,5.28664128581533e-31
"227566_at",17.6845224274891,3.08599648669577e-36,7.94141320615654e-34
"211896_s_at",17.6639713733198,2.20892254635523e-36,5.81505207806595e-34
"201893_x_at",17.6089714753187,3.5342474391621e-36,8.79835533686192e-34
"213429_at",17.6041790145675,6.38765304736467e-36,1.49282058922238e-33
"202237_at",17.5971350971413,2.02846841401992e-36,5.53071572455932e-34
"201842_s_at",17.5870202009288,2.10423414791082e-36,5.66979702230607e-34
"209655_s_at",17.5498435882429,2.87683272849614e-32,3.16749960836272e-30
"204359_at",17.5363328616895,2.73805042234393e-32,3.04415382635646e-30
"218656_s_at",17.5308115457541,5.44695701852343e-36,1.2994964228671e-33
"211813_x_at",17.4944685720865,3.4339017939425e-36,8.64248931721594e-34
"224733_at",17.4909019792992,6.56509817426001e-32,6.62380808304304e-30
"202995_s_at",17.463829504531,8.03678292012548e-36,1.8224399922736e-33
"201852_x_at",17.4585578887764,4.36038028679353e-34,7.184589187657e-32
"209897_s_at",17.437560424972,1.3598570927607e-34,2.49158455963987e-32
"218181_s_at",17.4211177577806,2.64160090558304e-35,5.50005323096076e-33
"1557938_s_at",17.3721413799161,1.9815980003719e-33,2.83653368765736e-31
"201150_s_at",17.371939744259,7.65082585157493e-36,1.75226864478621e-33
"225185_at",17.3311081837306,1.15903236203556e-32,1.42716764450003e-30
"209198_s_at",17.3025780793843,1.69989354735454e-31,1.57622113016442e-29
"226771_at",17.3006208385016,7.73593561679707e-34,1.20527981926193e-31
"224694_at",17.2998868355626,1.2742346557484e-35,2.83337828355393e-33
"212667_at",17.2947226621082,1.90118185549716e-35,4.06941757350015e-33
"202437_s_at",17.2900780969964,2.53571909811387e-28,1.54456315170484e-26
"226621_at",17.2590085693504,9.58578903825222e-34,1.44436398909928e-31
"220272_at",17.245226725426,3.04469211164406e-30,2.44675731343804e-28
"207233_s_at",17.210189957508,4.06651936788157e-32,4.33188339919031e-30
"202765_s_at",17.208494712514,3.40099927780292e-33,4.63649324163812e-31
"226777_at",17.1881506691472,1.97577507232811e-33,2.83653368765736e-31
"201148_s_at",17.1770279366937,2.83745902003024e-31,2.57882237840288e-29
"202465_at",17.1713812821165,8.26415137550277e-34,1.2695859431687e-31
"209191_at",17.1170229696033,3.27483616328137e-35,6.7570786169039e-33
"212636_at",17.1058219011834,4.51985422953387e-35,9.16090455035524e-33
"204051_s_at",17.0949238324742,3.52037061101733e-33,4.74276753553706e-31
"209721_s_at",17.0905488768009,1.59939956757989e-31,1.48906700391391e-29
"202948_at",17.0816633982465,8.31497583178206e-34,1.2695859431687e-31
"225566_at",17.0749936684064,1.65098655310141e-32,1.94910025905575e-30
"212526_at",17.0742951686936,4.20549989434199e-31,3.77719859137705e-29
"212233_at",17.0714772669418,1.46066535378521e-32,1.75149835590275e-30
"202994_s_at",17.0666111580971,5.21904805020762e-34,8.4774367016954e-32
"211671_s_at",17.0522670261516,5.12068588272537e-35,1.01981798932225e-32
"201149_s_at",17.0228011814346,5.49448326777799e-31,4.78479658866613e-29
"226152_at",17.0167099587935,1.17371835335731e-32,1.43752253726966e-30
"238447_at",16.998941786775,6.20276103174785e-32,6.30528150636315e-30
"221747_at",16.9949092224986,5.73725833548107e-29,3.80870804804415e-27
"226084_at",16.9934752151535,1.51103840674893e-32,1.80246419946722e-30
"221730_at",16.9929577715042,5.47434559517542e-35,1.08085290660606e-32
"226722_at",16.9786522429945,6.8799228877241e-34,1.08669568205204e-31
"203417_at",16.9575688734601,1.62996471400177e-34,2.96278427339544e-32
"231841_s_at",16.9539451293084,5.87582620335532e-29,3.8725263382142e-27
"201617_x_at",16.9323587934682,6.83420702300301e-35,1.3378106277593e-32
"219506_at",16.9117882362043,2.88296622506537e-34,5.04034927119634e-32
"226705_at",16.8983463636635,1.55280728853684e-31,1.45158960527997e-29
"217967_s_at",16.8885696066303,3.24188877100758e-34,5.54096854644677e-32
"209656_s_at",16.8809177880899,9.49588984719213e-35,1.79739144768795e-32
"212158_at",16.8749775884206,1.04350969267865e-34,1.9430489830422e-32
"213249_at",16.8698982055214,6.51888367823722e-31,5.59183493942573e-29
"203688_at",16.8644768593833,2.68335331665405e-34,4.80131570400998e-32
"221729_at",16.8633245096123,9.9299931500382e-35,1.86415273045348e-32
"200665_s_at",16.8597851333203,8.97061233194067e-34,1.36062208104925e-31
"227326_at",16.8581489382609,1.36361526621572e-33,2.01489551239604e-31
"204163_at",16.8367959381568,8.33445583602449e-33,1.04881341765093e-30
"204400_at",16.8274531041934,1.9084168952153e-28,1.17495892879344e-26
"202132_at",16.8226302362478,3.38461145599694e-30,2.70096711417066e-28
"204940_at",16.8175865403999,6.49415903983069e-29,4.23748502818354e-27
"213001_at",16.8167819615778,6.03791813243869e-33,7.8571840333661e-31
"201162_at",16.8104485170478,1.32579975903141e-34,2.4487735387981e-32
"204749_at",16.7889903653327,4.78846266418322e-27,2.38704152790242e-25
"228176_at",16.7881672417592,1.27447995031464e-33,1.90780485634355e-31
"207191_s_at",16.7767261142682,2.03747989601538e-33,2.88051864558273e-31
"201141_at",16.7761195543342,2.08512758234439e-34,3.76028952901052e-32
"204069_at",16.7734121880743,1.55213983367746e-31,1.45158960527997e-29
"226282_at",16.7520537272418,3.00621977331535e-34,5.21601905062436e-32
"208851_s_at",16.7459466460936,6.66502032529386e-34,1.06006222576531e-31
"229802_at",16.7301747933555,5.97759813647399e-34,9.64119226194815e-32
"209197_at",16.7222862589034,9.69643017972601e-29,6.25569972975394e-27
"201105_at",16.7101081706892,5.201708257834e-34,8.4774367016954e-32
"212263_at",16.7021196269455,6.31212870552636e-34,1.01095583036832e-31
"216442_x_at",16.6891972525159,1.8906980040162e-32,2.20931920336648e-30
"226103_at",16.6859746905997,6.877764106558e-31,5.85581529117092e-29
"204938_s_at",16.6841173434235,1.88385243561565e-27,9.89584227818926e-26
"225798_at",16.6743085334452,6.23550186330156e-33,8.06845758051953e-31
"210495_x_at",16.6704322000987,1.98094307296203e-32,2.29139086868936e-30
"201431_s_at",16.6668383341032,2.84045982484846e-34,5.00423472065418e-32
"213069_at",16.6535290748688,1.67938721333542e-32,1.97246181266774e-30
"200600_at",16.6453268254784,3.18692883000294e-34,5.48798729274866e-32
"200859_x_at",16.641130689207,3.41427907913914e-30,2.71518172741402e-28
"212419_at",16.6329859140982,2.4593459205794e-32,2.77469948862217e-30
"203562_at",16.618201741073,4.58094203411105e-32,4.76896888214752e-30
"226425_at",16.5747888250859,5.81964692000323e-29,3.85223622568884e-27
"203817_at",16.5690972906674,7.02459076970584e-34,1.10194659177105e-31
"214752_x_at",16.5663410101048,1.32457517959125e-29,9.42134948390631e-28
"212423_at",16.545687267357,2.68516004033763e-33,3.70471207252125e-31
"222379_at",16.5337706198503,2.87865604654891e-28,1.72485525197269e-26
"221276_s_at",16.5315202340953,2.40951504043772e-29,1.67735936082508e-27
"218999_at",16.5295768134746,2.72321701360702e-32,3.04243118354349e-30
"227399_at",16.5233216696589,1.12065535165109e-27,6.08207808503908e-26
"227623_at",16.50715704581,6.16157631693525e-29,4.04351238930568e-27
"209263_x_at",16.5054448879221,6.90599728005833e-32,6.87687198718156e-30
"212397_at",16.4906716307979,8.17508552478098e-34,1.26509448495986e-31
"223393_s_at",16.4725096626255,6.32361678629503e-31,5.44472914498177e-29
"227070_at",16.4705369165541,2.47766540365453e-33,3.4391497418121e-31
"213004_at",16.4651512585855,5.92238470363123e-31,5.118504787444e-29
"1552309_a_at",16.4650369492589,8.42539130534945e-30,6.16507147177056e-28
"229942_at",16.4330364899713,4.82214529865366e-28,2.76795974373596e-26
"208790_s_at",16.4174896982011,3.50948149561158e-30,2.78123372643571e-28
"213746_s_at",16.4070749542919,8.80762203135238e-30,6.36343745691052e-28
"201865_x_at",16.4021210898552,1.48181153445334e-33,2.16165156519649e-31
"212154_at",16.3913666693083,1.52774306483024e-33,2.21455059581056e-31
"219087_at",16.3660315112485,4.13229285308454e-33,5.43918983989627e-31
"232458_at",16.362787052428,7.927511805903e-32,7.7394431873758e-30
"203104_at",16.3609291213246,4.43995548759478e-32,4.69403646173323e-30
"215076_s_at",16.3520447088607,6.73530265633862e-31,5.75591928127326e-29
"208850_s_at",16.351835017316,2.96450806601134e-33,4.06563642130885e-31
"217767_at",16.3414135805114,2.20137828235608e-33,3.09313906753383e-31
"212464_s_at",16.3376401071621,7.94118302856968e-32,7.7394431873758e-30
"227705_at",16.3358628623535,7.30765959093665e-29,4.75475362531881e-27
"212764_at",16.3303500028237,1.95388314311771e-32,2.27156272217385e-30
"214212_x_at",16.3278158026439,2.34143154372026e-29,1.63493312944589e-27
"202897_at",16.3212609790396,8.22779192660173e-33,1.04111115190585e-30
"201438_at",16.2640216849468,6.76496532743497e-33,8.65575423990186e-31
"204570_at",16.2525010698469,9.85944174816526e-31,8.2714576687996e-29
"225681_at",16.2513472032165,7.62887681032525e-33,9.70689808815996e-31
"204083_s_at",16.2188341141884,1.5557646296252e-32,1.84620089701067e-30
"202403_s_at",16.1903269574847,7.15250368291654e-32,7.09150614068561e-30
"202664_at",16.1873101512421,3.81272612640252e-33,5.10660037853783e-31
"201185_at",16.1835478771308,6.22186447381597e-32,6.30528150636315e-30
"202686_s_at",16.1776279876757,4.44747811289399e-32,4.69403646173323e-30
"211959_at",16.1694389186306,1.13559457497254e-31,1.09279506515109e-29
"219213_at",16.1670857382633,5.03603969445844e-29,3.352919102389e-27
"214438_at",16.1513707450569,1.66184326104455e-27,8.79011459762204e-26
"204894_s_at",16.1422850772512,4.50778796921146e-31,4.03288546323633e-29
"211719_x_at",16.12976716285,1.03114036067254e-30,8.61905389798653e-29
"211161_s_at",16.1279283584476,4.98466858652128e-31,4.39091787065757e-29
"226769_at",16.1199693544914,5.62056349494656e-32,5.82478577940096e-30
"205529_s_at",16.099235499054,3.2919036397604e-28,1.95829789769954e-26
"225825_at",16.0955865634598,2.67042848908706e-28,1.61374204975095e-26
"227554_at",16.0941514180858,1.92374993072351e-27,1.0059279603507e-25
"203180_at",16.0939510062845,6.33465704019881e-33,8.15071068492547e-31
"223392_s_at",16.0930173052207,7.50087553284812e-30,5.61413569702028e-28
"226676_at",16.081298047272,5.97450026738386e-32,6.10865980463806e-30
"204604_at",16.0725616875698,1.48022890548579e-28,9.31364907207172e-27
"202202_s_at",16.0497611079336,1.39746726468966e-32,1.68453646122038e-30
"213422_s_at",16.0407195735371,2.09854028032229e-29,1.46981247829423e-27
"212157_at",16.0131191960358,5.95513363688043e-30,4.5312433782549e-28
"201666_at",16.0117564583406,1.00000328040743e-32,1.2447323440854e-30
"226372_at",16.0061257850475,3.74560415042348e-29,2.55314201955801e-27
"244741_s_at",16.0001240423964,2.53835496595849e-27,1.31232378747962e-25
"226225_at",15.983475023273,3.89330918802434e-30,3.06420825887702e-28
"204688_at",15.9823440227265,2.00830760699313e-32,2.30510550802984e-30
"221541_at",15.9795577854363,6.83452622055444e-32,6.83542157333443e-30
"209264_s_at",15.9702741207606,2.81137386225421e-32,3.11057466508252e-30
"212488_at",15.9660941144904,2.89048342203121e-32,3.16749960836272e-30
"225793_at",15.9548008215232,3.16539142966064e-32,3.41966792044894e-30
"203382_s_at",15.945210805964,6.76608806551235e-30,5.09749062382991e-28
"224796_at",15.9443564738884,4.5729648095636e-32,4.76896888214752e-30
"227530_at",15.9434673409572,1.16654599035472e-27,6.31617087874567e-26
"209524_at",15.9432108291903,1.26057092410425e-31,1.19301057333717e-29
"209747_at",15.9257939240026,3.36738472351789e-28,1.99284786363644e-26
"227013_at",15.9166456961273,5.94553878635333e-32,6.10630828806503e-30
"222453_at",15.8877329982861,2.01292888095869e-32,2.30510550802984e-30
"210139_s_at",15.8734234774476,3.81611980498635e-32,4.10331417340856e-30
"212561_at",15.8672971665773,2.24554798272708e-32,2.54602898259398e-30
"226069_at",15.8634526590784,1.10537763039092e-24,4.16389208369133e-23
"209473_at",15.8622948531181,7.71594257909161e-30,5.73760496392647e-28
"200795_at",15.8485613939547,1.78239528773082e-31,1.64605642237495e-29
"205802_at",15.8479086130717,1.6069947463427e-26,7.46551737839489e-25
"221942_s_at",15.8077060837155,5.66676626998793e-31,4.91613438945203e-29
"212829_at",15.7994264044658,6.70406523942473e-32,6.73435114818179e-30
"221565_s_at",15.7985773696896,1.16631028121765e-31,1.10838192409659e-29
"201069_at",15.7883372836453,4.51451146625229e-32,4.7429291794301e-30
"235821_at",15.7877516287611,4.34134676059723e-28,2.51085517318077e-26
"232113_at",15.7691885834096,8.67709443852972e-27,4.19730947026492e-25
"212646_at",15.7517176537658,5.82428368336106e-32,6.00871933333416e-30
"218502_s_at",15.7384723899101,1.16494088247995e-31,1.10838192409659e-29
"203729_at",15.7330574686572,1.82969634523066e-30,1.4913001919864e-28
"225285_at",15.7292175528704,2.18864590688755e-30,1.77192308233439e-28
"229225_at",15.6871624613738,1.70177812909427e-28,1.05912566550669e-26
"201787_at",15.6865392893705,3.25714115015179e-29,2.22681503766945e-27
"226517_at",15.6796295913118,4.68163149287072e-31,4.17211696814078e-29
"202759_s_at",15.6785112701186,7.46304940011953e-32,7.36750950047144e-30
"208396_s_at",15.6681118279973,5.51460809828476e-26,2.40573465285745e-24
"217525_at",15.6604874306695,2.24779845371528e-26,1.02962655970882e-24
"226311_at",15.6572495069823,9.36215491243949e-32,9.08565398133905e-30
"211958_at",15.6491197257221,1.38224122037259e-30,1.13467636810729e-28
"204030_s_at",15.6424743609759,6.19085352849344e-28,3.50096588550828e-26
"204099_at",15.6395769865788,1.22491962003533e-27,6.60101977827508e-26
"221447_s_at",15.6181505061362,8.71076880373446e-30,6.33342025117239e-28
"217428_s_at",15.5986387282819,6.22180934880644e-28,3.50980540679098e-26
"204556_s_at",15.5958486510309,3.16637320588368e-28,1.88852722745713e-26
"230130_at",15.5919213230897,2.87739114534423e-31,2.60477823722605e-29
"228850_s_at",15.5859520135216,7.05475356359662e-28,3.9122281081611e-26
"217966_s_at",15.5779522626403,2.16006627519021e-28,1.32632702146599e-26
"1555778_a_at",15.5779146405225,2.40676053845015e-31,2.19609707618023e-29
"36030_at",15.5636920818427,6.29067384283484e-28,3.53993373519524e-26
"219165_at",15.5622522710765,1.99089833061834e-31,1.82405717204613e-29
"223499_at",15.5469349728207,1.30944237116688e-28,8.3075231653283e-27
"209651_at",15.5413456042705,1.16390983661441e-30,9.6234754469241e-29
"1555229_a_at",15.5261318698744,1.99106795184707e-31,1.82405717204613e-29
"227761_at",15.5244814057914,5.93514435215363e-28,3.36466859151917e-26
"218223_s_at",15.5219553744667,6.89727344388872e-28,3.85288423622886e-26
"212265_at",15.5208287067384,1.4794236073048e-31,1.39437197029226e-29
"228082_at",15.5055791999034,2.58839141232468e-26,1.17856716732549e-24
"201866_s_at",15.4965320475218,4.48095023423028e-30,3.4788882445619e-28
"211555_s_at",15.4921501266898,1.70852706291245e-28,1.06044431766623e-26
"217897_at",15.4840526624232,2.64164076330511e-26,1.20042655559478e-24
"206026_s_at",15.4827532390634,3.94784747349756e-31,3.55974608998089e-29
"202450_s_at",15.4807390910127,6.97089282328695e-31,5.91312438265707e-29
"213869_x_at",15.4545884946475,1.12221145030928e-30,9.31232204580918e-29
"214511_x_at",15.4543452421283,1.04992339267554e-27,5.71173288894249e-26
"227236_at",15.4331744237883,2.62463098590016e-29,1.80516286696911e-27
"227529_s_at",15.4259867021023,6.34839644037493e-25,2.45189415976234e-23
"229554_at",15.4141983539436,2.56316763579402e-29,1.76819964947562e-27
"244050_at",15.4069576172182,5.01506786546065e-31,4.40077008899024e-29
"221814_at",15.3847059551931,3.95765503849992e-30,3.09358953401924e-28
"205079_s_at",15.3811101271157,1.66361349710869e-26,7.71290281868024e-25
"225990_at",15.3661649723314,3.32898481500596e-26,1.48334122992377e-24
"224396_s_at",15.3451865932404,3.75761373445224e-27,1.89979309845827e-25
"225045_at",15.3449609720991,3.67784413123384e-27,1.86770873919398e-25
"215446_s_at",15.3422998362998,5.23784585668531e-30,3.99874612185546e-28
"204464_s_at",15.3365023331087,4.86401479209381e-31,4.30117879472295e-29
"210809_s_at",15.3147088542034,7.76477962846879e-30,5.75523455763174e-28
"206025_s_at",15.306900076973,7.17518906921604e-30,5.38797886072967e-28
"200907_s_at",15.2958973113422,3.99912778382025e-27,2.008597009492e-25
"203088_at",15.2938632439702,8.51183819999197e-28,4.67088880652703e-26
"204463_s_at",15.2919425634222,7.59635234342078e-30,5.66707679874156e-28
"226001_at",15.2785254010919,7.12212446426447e-31,6.01911500387635e-29
"204955_at",15.2719568414334,3.53393829020345e-28,2.08602548094149e-26
"202273_at",15.2664387043639,1.69862128157712e-30,1.38941154328431e-28
"228202_at",15.2521257904804,9.30892075569765e-25,3.53569174241697e-23
"202435_s_at",15.2384165647091,1.97791254141334e-23,6.45301010484184e-22
"1555705_a_at",15.2348701692003,3.75935428901892e-26,1.66538667855706e-24
"203305_at",15.220261627064,7.69693551442315e-28,4.25804140306361e-26
"220617_s_at",15.2197423156334,3.99383437288779e-29,2.69825335227873e-27
"224927_at",15.1938425617193,1.67630906628183e-29,1.18130789369393e-27
"211564_s_at",15.1937189798269,1.20924107455499e-27,6.53189819116344e-26
"45297_at",15.1806284224973,1.2246681415042e-26,5.78321122574654e-25
"209596_at",15.1739939954618,2.86078258413703e-30,2.30705998325671e-28
"212489_at",15.173604635322,1.10585878171723e-30,9.20999406460716e-29
"210973_s_at",15.1537745843022,6.10564992403919e-27,3.00726237011332e-25
"218718_at",15.1474463311575,1.20867261737959e-30,9.95763631505211e-29
"213340_s_at",15.1377083986898,5.32672575534636e-28,3.04994999936744e-26
"211071_s_at",15.1307943940288,5.10394901606634e-27,2.53569944284094e-25
"209101_at",15.1155895323552,1.26182153877909e-29,9.03109334458047e-28
"218468_s_at",15.1128973970215,1.0642687519487e-29,7.66507774398775e-28
"219561_at",15.0603848634338,3.79079438266934e-28,2.2148102996499e-26
"228532_at",15.0478817347604,7.24820492215812e-27,3.54712900282452e-25
"202952_s_at",15.0468355632035,4.6053574557306e-25,1.80920243239448e-23
